,Target,Date,Tweet Ago,Compound,Positive,Negative,Neutral,Text,Source
34,BBC,2017-12-01 12:30:03,35,-0.3818,0.142,0.233,0.625,"The apocalypse smells like racism. ?
#QI via @BBCTwo. 
Watch on @BBCiPlayer. ? https://t.co/8GlsOYI8Ej https://t.co/qf2XCUaENY","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
35,BBC,2017-12-01 12:18:09,36,0.8151,0.282,0.0,0.718,"RT @BBCSpringwatch: Three wise men? 
Not quite, but we do have three ADORABLE long-eared owls in the Autumnwatch advent calendar ? https://…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
36,BBC,2017-12-01 12:03:01,37,0.5994,0.231,0.0,0.769,You're the man @BrandonFlowers. ? ? ? We're still loving @thekillers' performance from #SLFN Via @BBCMusic https://t.co/4q9sdosZjG,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
37,BBC,2017-12-01 11:34:46,38,0.0,0.0,0.0,1.0,"Go crab, go! ? ? ?
#BluePlanet2 via @BBCEarth.

Coasts | Sunday 8PM | @BBCOne. https://t.co/vazOWtmE7U","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
38,BBC,2017-12-01 11:02:10,39,0.0,0.0,0.0,1.0,"It's #WorldCupDraw day! ?

Whichever country you land on will be your second team at the #WorldCup (unless they’re… https://t.co/Kns3zUZ2KG","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
39,BBC,2017-12-01 10:34:22,40,-0.2732,0.08,0.122,0.798,"RT @bbcthree: 45% of burglaries are committed by heroin and crack users. 
This is the story behind of one of them. #Drugsland https://t.co/…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
40,BBC,2017-12-01 19:00:02,41,-0.3818,0.0,0.133,0.867,"Former Nazi leader, Ingo Hasselbach has developed a system in Germany to fight extremism.
Via BBC World Hacks. https://t.co/VTbEfmUGvk","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
41,BBC,2017-12-01 18:30:09,42,0.0,0.0,0.0,1.0,?? The avocado police protecting Mexico's green gold. https://t.co/nY6VtkGxtA https://t.co/UBmnrbTzTH,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
42,BBC,2017-12-01 18:01:03,43,0.5574,0.184,0.0,0.816,"When @LoyleCarner met his all-time hero Eric Cantona. ??? Watch The Premier League Show, here. ?… https://t.co/NQDq5uxKkS","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
43,BBC,2017-12-01 17:30:09,44,0.8591,0.333,0.0,0.667,"'I’ve learnt for the first time in years to accept my skin.' 
Could ‘acne positivity’ help you to love your spots?… https://t.co/J1PLYHNzMO","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
44,BBC,2017-12-01 17:18:28,45,0.4767,0.193,0.0,0.807,"RT @BBCEarth: With a drone, his friends and a wheelchair, @jaimenhudson can fly
#OurBluePlanet #BluePlanet2 https://t.co/zM2p9ZnwbR","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
45,BBC,2017-12-01 17:06:02,46,0.0,0.0,0.0,1.0,All dressed up and heading out on a Friday night like... ? ? #FridayFeeling #BluePlanet2 https://t.co/mmJxVP7Hjy,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
46,BBC,2017-12-01 16:30:03,47,0.4003,0.172,0.0,0.828,"Who's excited for @PalomaFaith to host #SLFN tonight? 

WE ARE!

7.30pm | @BBCOne | https://t.co/JXdFw7Flfy https://t.co/x7kyc96jZb","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
47,BBC,2017-12-01 16:03:06,48,0.0,0.0,0.0,1.0,"Coming up on @BBCFour this Christmas; Eric, Ernie &amp; Me, La Bohème, Elvis and more! ?? ? ? https://t.co/lALkwMP6Th https://t.co/wL6oIRaUVc","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
48,BBC,2017-12-01 15:31:05,49,0.0,0.0,0.0,1.0,? ? @brittwray &amp; @elliecosgrave discuss how close we are to the next pandemic in episode 5 of the @TWBBC podcast. ?… https://t.co/zksLmMErzC,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
49,BBC,2017-12-01 14:59:04,50,0.0,0.0,0.0,1.0,"Today is the first day of winter - or is it? ?
Working out exactly when autumn finishes &amp; winter begins isn't as si… https://t.co/8qhmrtHUFX","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
50,BBC,2017-12-01 14:28:33,51,0.1027,0.136,0.117,0.748,"On #WorldAIDSDay, @RiyadhK looks at some iconic 80s advertising from the safe sex campaign stressing the importance… https://t.co/4IaLF5gWY2","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
51,BBC,2017-12-01 14:00:07,52,-0.296,0.0,0.115,0.885,"'For the ear, he (Elvis) is an unutterable bore.' ~ @NYTimes.
? 7 times music critics got things completely wrong.… https://t.co/8ETpF9UMXD","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
52,BBC,2017-12-01 13:31:02,53,0.0,0.0,0.0,1.0,"With drug-resistant superbugs on the rise, scientists are searching for new antibiotics in exotic and extreme place… https://t.co/zwgK11WqUJ","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
53,BBC,2017-12-01 13:00:08,54,0.5423,0.2,0.0,0.8,"'Cows always find time for extra-curricular activities.' ?
Nine udderly fascinating facts about cows. ?… https://t.co/5CluNT3eYN","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
54,BBC,2017-12-01 12:30:03,55,-0.3818,0.142,0.233,0.625,"The apocalypse smells like racism. ?
#QI via @BBCTwo. 
Watch on @BBCiPlayer. ? https://t.co/8GlsOYI8Ej https://t.co/qf2XCUaENY","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
55,BBC,2017-12-01 12:18:09,56,0.8151,0.282,0.0,0.718,"RT @BBCSpringwatch: Three wise men? 
Not quite, but we do have three ADORABLE long-eared owls in the Autumnwatch advent calendar ? https://…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
56,BBC,2017-12-01 12:03:01,57,0.5994,0.231,0.0,0.769,You're the man @BrandonFlowers. ? ? ? We're still loving @thekillers' performance from #SLFN Via @BBCMusic https://t.co/4q9sdosZjG,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
57,BBC,2017-12-01 11:34:46,58,0.0,0.0,0.0,1.0,"Go crab, go! ? ? ?
#BluePlanet2 via @BBCEarth.

Coasts | Sunday 8PM | @BBCOne. https://t.co/vazOWtmE7U","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
58,BBC,2017-12-01 11:02:10,59,0.0,0.0,0.0,1.0,"It's #WorldCupDraw day! ?

Whichever country you land on will be your second team at the #WorldCup (unless they’re… https://t.co/Kns3zUZ2KG","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
59,BBC,2017-12-01 10:34:22,60,-0.2732,0.08,0.122,0.798,"RT @bbcthree: 45% of burglaries are committed by heroin and crack users. 
This is the story behind of one of them. #Drugsland https://t.co/…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
60,BBC,2017-12-01 19:00:02,61,-0.3818,0.0,0.133,0.867,"Former Nazi leader, Ingo Hasselbach has developed a system in Germany to fight extremism.
Via BBC World Hacks. https://t.co/VTbEfmUGvk","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
61,BBC,2017-12-01 18:30:09,62,0.0,0.0,0.0,1.0,?? The avocado police protecting Mexico's green gold. https://t.co/nY6VtkGxtA https://t.co/UBmnrbTzTH,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
62,BBC,2017-12-01 18:01:03,63,0.5574,0.184,0.0,0.816,"When @LoyleCarner met his all-time hero Eric Cantona. ??? Watch The Premier League Show, here. ?… https://t.co/NQDq5uxKkS","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
63,BBC,2017-12-01 17:30:09,64,0.8591,0.333,0.0,0.667,"'I’ve learnt for the first time in years to accept my skin.' 
Could ‘acne positivity’ help you to love your spots?… https://t.co/J1PLYHNzMO","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
64,BBC,2017-12-01 17:18:28,65,0.4767,0.193,0.0,0.807,"RT @BBCEarth: With a drone, his friends and a wheelchair, @jaimenhudson can fly
#OurBluePlanet #BluePlanet2 https://t.co/zM2p9ZnwbR","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
65,BBC,2017-12-01 17:06:02,66,0.0,0.0,0.0,1.0,All dressed up and heading out on a Friday night like... ? ? #FridayFeeling #BluePlanet2 https://t.co/mmJxVP7Hjy,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
66,BBC,2017-12-01 16:30:03,67,0.4003,0.172,0.0,0.828,"Who's excited for @PalomaFaith to host #SLFN tonight? 

WE ARE!

7.30pm | @BBCOne | https://t.co/JXdFw7Flfy https://t.co/x7kyc96jZb","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
67,BBC,2017-12-01 16:03:06,68,0.0,0.0,0.0,1.0,"Coming up on @BBCFour this Christmas; Eric, Ernie &amp; Me, La Bohème, Elvis and more! ?? ? ? https://t.co/lALkwMP6Th https://t.co/wL6oIRaUVc","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
68,BBC,2017-12-01 15:31:05,69,0.0,0.0,0.0,1.0,? ? @brittwray &amp; @elliecosgrave discuss how close we are to the next pandemic in episode 5 of the @TWBBC podcast. ?… https://t.co/zksLmMErzC,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
69,BBC,2017-12-01 14:59:04,70,0.0,0.0,0.0,1.0,"Today is the first day of winter - or is it? ?
Working out exactly when autumn finishes &amp; winter begins isn't as si… https://t.co/8qhmrtHUFX","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
70,BBC,2017-12-01 14:28:33,71,0.1027,0.136,0.117,0.748,"On #WorldAIDSDay, @RiyadhK looks at some iconic 80s advertising from the safe sex campaign stressing the importance… https://t.co/4IaLF5gWY2","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
71,BBC,2017-12-01 14:00:07,72,-0.296,0.0,0.115,0.885,"'For the ear, he (Elvis) is an unutterable bore.' ~ @NYTimes.
? 7 times music critics got things completely wrong.… https://t.co/8ETpF9UMXD","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
72,BBC,2017-12-01 13:31:02,73,0.0,0.0,0.0,1.0,"With drug-resistant superbugs on the rise, scientists are searching for new antibiotics in exotic and extreme place… https://t.co/zwgK11WqUJ","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
73,BBC,2017-12-01 13:00:08,74,0.5423,0.2,0.0,0.8,"'Cows always find time for extra-curricular activities.' ?
Nine udderly fascinating facts about cows. ?… https://t.co/5CluNT3eYN","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
74,BBC,2017-12-01 12:30:03,75,-0.3818,0.142,0.233,0.625,"The apocalypse smells like racism. ?
#QI via @BBCTwo. 
Watch on @BBCiPlayer. ? https://t.co/8GlsOYI8Ej https://t.co/qf2XCUaENY","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
75,BBC,2017-12-01 12:18:09,76,0.8151,0.282,0.0,0.718,"RT @BBCSpringwatch: Three wise men? 
Not quite, but we do have three ADORABLE long-eared owls in the Autumnwatch advent calendar ? https://…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
76,BBC,2017-12-01 12:03:01,77,0.5994,0.231,0.0,0.769,You're the man @BrandonFlowers. ? ? ? We're still loving @thekillers' performance from #SLFN Via @BBCMusic https://t.co/4q9sdosZjG,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
77,BBC,2017-12-01 11:34:46,78,0.0,0.0,0.0,1.0,"Go crab, go! ? ? ?
#BluePlanet2 via @BBCEarth.

Coasts | Sunday 8PM | @BBCOne. https://t.co/vazOWtmE7U","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
78,BBC,2017-12-01 11:02:10,79,0.0,0.0,0.0,1.0,"It's #WorldCupDraw day! ?

Whichever country you land on will be your second team at the #WorldCup (unless they’re… https://t.co/Kns3zUZ2KG","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
79,BBC,2017-12-01 10:34:22,80,-0.2732,0.08,0.122,0.798,"RT @bbcthree: 45% of burglaries are committed by heroin and crack users. 
This is the story behind of one of them. #Drugsland https://t.co/…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
80,BBC,2017-12-01 19:00:02,81,-0.3818,0.0,0.133,0.867,"Former Nazi leader, Ingo Hasselbach has developed a system in Germany to fight extremism.
Via BBC World Hacks. https://t.co/VTbEfmUGvk","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
81,BBC,2017-12-01 18:30:09,82,0.0,0.0,0.0,1.0,?? The avocado police protecting Mexico's green gold. https://t.co/nY6VtkGxtA https://t.co/UBmnrbTzTH,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
82,BBC,2017-12-01 18:01:03,83,0.5574,0.184,0.0,0.816,"When @LoyleCarner met his all-time hero Eric Cantona. ??? Watch The Premier League Show, here. ?… https://t.co/NQDq5uxKkS","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
83,BBC,2017-12-01 17:30:09,84,0.8591,0.333,0.0,0.667,"'I’ve learnt for the first time in years to accept my skin.' 
Could ‘acne positivity’ help you to love your spots?… https://t.co/J1PLYHNzMO","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
84,BBC,2017-12-01 17:18:28,85,0.4767,0.193,0.0,0.807,"RT @BBCEarth: With a drone, his friends and a wheelchair, @jaimenhudson can fly
#OurBluePlanet #BluePlanet2 https://t.co/zM2p9ZnwbR","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
85,BBC,2017-12-01 17:06:02,86,0.0,0.0,0.0,1.0,All dressed up and heading out on a Friday night like... ? ? #FridayFeeling #BluePlanet2 https://t.co/mmJxVP7Hjy,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
86,BBC,2017-12-01 16:30:03,87,0.4003,0.172,0.0,0.828,"Who's excited for @PalomaFaith to host #SLFN tonight? 

WE ARE!

7.30pm | @BBCOne | https://t.co/JXdFw7Flfy https://t.co/x7kyc96jZb","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
87,BBC,2017-12-01 16:03:06,88,0.0,0.0,0.0,1.0,"Coming up on @BBCFour this Christmas; Eric, Ernie &amp; Me, La Bohème, Elvis and more! ?? ? ? https://t.co/lALkwMP6Th https://t.co/wL6oIRaUVc","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
88,BBC,2017-12-01 15:31:05,89,0.0,0.0,0.0,1.0,? ? @brittwray &amp; @elliecosgrave discuss how close we are to the next pandemic in episode 5 of the @TWBBC podcast. ?… https://t.co/zksLmMErzC,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
89,BBC,2017-12-01 14:59:04,90,0.0,0.0,0.0,1.0,"Today is the first day of winter - or is it? ?
Working out exactly when autumn finishes &amp; winter begins isn't as si… https://t.co/8qhmrtHUFX","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
90,BBC,2017-12-01 14:28:33,91,0.1027,0.136,0.117,0.748,"On #WorldAIDSDay, @RiyadhK looks at some iconic 80s advertising from the safe sex campaign stressing the importance… https://t.co/4IaLF5gWY2","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
91,BBC,2017-12-01 14:00:07,92,-0.296,0.0,0.115,0.885,"'For the ear, he (Elvis) is an unutterable bore.' ~ @NYTimes.
? 7 times music critics got things completely wrong.… https://t.co/8ETpF9UMXD","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
92,BBC,2017-12-01 13:31:02,93,0.0,0.0,0.0,1.0,"With drug-resistant superbugs on the rise, scientists are searching for new antibiotics in exotic and extreme place… https://t.co/zwgK11WqUJ","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
93,BBC,2017-12-01 13:00:08,94,0.5423,0.2,0.0,0.8,"'Cows always find time for extra-curricular activities.' ?
Nine udderly fascinating facts about cows. ?… https://t.co/5CluNT3eYN","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
94,BBC,2017-12-01 12:30:03,95,-0.3818,0.142,0.233,0.625,"The apocalypse smells like racism. ?
#QI via @BBCTwo. 
Watch on @BBCiPlayer. ? https://t.co/8GlsOYI8Ej https://t.co/qf2XCUaENY","<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>"
95,BBC,2017-12-01 12:18:09,96,0.8151,0.282,0.0,0.718,"RT @BBCSpringwatch: Three wise men? 
Not quite, but we do have three ADORABLE long-eared owls in the Autumnwatch advent calendar ? https://…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
96,BBC,2017-12-01 12:03:01,97,0.5994,0.231,0.0,0.769,You're the man @BrandonFlowers. ? ? ? We're still loving @thekillers' performance from #SLFN Via @BBCMusic https://t.co/4q9sdosZjG,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
